"TIME","GEO","DURATION","PURPOSE","DEST","TINFO","UNIT","Value","Flag and Footnotes"
"2007Q3","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","113,462",""
"2007Q3","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","77,425",""
"2007Q3","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","7,014",""
"2007Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro",":","u"
"2007Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2007Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":","u"
"2007Q3","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","53,091",""
"2007Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","29,001",""
"2007Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2007Q3","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2007Q4","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","28,061",""
"2007Q4","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","14,165",""
"2007Q4","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2007Q4","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2007Q4","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","76,385",""
"2007Q4","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","16,954",""
"2007Q4","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","37,369",""
"2007Q4","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","32,221",""
"2007Q4","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","7,998",""
"2007Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","6,081",""
"2007Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2007Q4","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2007Q4","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","86,760",""
"2007Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","34,422",""
"2007Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","17,880",""
"2007Q4","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro","10,568",""
"2008Q1","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","26,957",""
"2008Q1","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","12,718",""
"2008Q1","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2008Q1","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":",""
"2008Q1","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","78,079",""
"2008Q1","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","30,597",""
"2008Q1","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","26,597",""
"2008Q1","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","11,325",""
"2008Q1","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","7,655",""
"2008Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro",":","u"
"2008Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2008Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2008Q1","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","63,289",""
"2008Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","23,833",""
"2008Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","15,775",""
"2008Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2008Q2","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","35,022",""
"2008Q2","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","17,830",""
"2008Q2","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2008Q2","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2008Q2","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","103,705",""
"2008Q2","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","20,410",""
"2008Q2","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","40,943",""
"2008Q2","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","32,974",""
"2008Q2","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","9,146",""
"2008Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro",":","u"
"2008Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2008Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2008Q2","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","83,459",""
"2008Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","42,360",""
"2008Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","16,530",""
"2008Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro",":","u"
"2008Q3","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","70,345",""
"2008Q3","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","29,647",""
"2008Q3","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2008Q3","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":","u"
"2008Q3","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","309,227",""
"2008Q3","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","94,419",""
"2008Q3","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","107,082",""
"2008Q3","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","80,275",""
"2008Q3","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","6,481",""
"2008Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro",":","u"
"2008Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":","u"
"2008Q3","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
