"Zasebna potovanja po: ÈETRTLETJE, DESTINACIJA, VRSTA NASTANITVE ,"
"MERITVE"

" ";"Slovenija";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Tujina";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Hoteli in podobni objekti";" ";" ";"Kampi";" ";" ";"Druge najete nastanitvene zmogljivosti";" ";" ";"Lastno poèitniško bivališèe";" ";" ";"Pri sorodnikih ali prijateljih";" ";" ";"Druge nenajete nastanitvene zmogljivosti";" ";" ";"Hoteli in podobni objekti";" ";" ";"Kampi";" ";" ";"Druge najete nastanitvene zmogljivosti";" ";" ";"Lastno poèitniško bivališèe";" ";" ";"Pri sorodnikih ali prijateljih";" ";" ";"Druge nenajete nastanitvene zmogljivosti";" ";" "
" ";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev";"Potovanja (v 1000)";"Prenoèitve (v 1000)";"Povpreèno število prenoèitev"
"2015Q2";92;277;3.0;N;N;N;89M;284M;3.2M;N;N;N;167M;387M;2.3M;-;-;-;163;668;4.1;94M;357M;3.8M;138;699;5.1;105M;415M;4.0M;108M;470M;4.4M;N;N;N
"2015Q3";89;354;4.0;40M;137M;3.4M;130;476;3.7;N;N;N;102M;377M;3.7M;N;N;N;237;1487;6.3;178;1542;8.7;443;3406;7.7;295M;1920M;6.5M;164;1280;7.8;N;N;N
"2015Q4";71;270;3.8;N;N;N;50M;131M;2.6M;N;N;N;94M;160M;1.7M;N;N;N;119;470;4.0;N;N;N;50M;245M;4.9M;N;N;N;60M;280M;4.7M;N;N;N
"2016Q1";95;336;3.5;-;-;-;60M;215M;3.6M;N;N;N;133M;326M;2.5M;-;-;-;80M;334M;4.2M;N;N;N;70M;521M;7.4M;N;N;N;53M;288M;5.5M;N;N;N
"2016Q2";66M;270M;4.1M;N;N;N;63M;183M;2.9M;N;N;N;109M;218M;2.0M;N;N;N;184;699;3.8;70M;328M;4.7M;85M;394M;4.6M;108M;361M;3.3M;116M;700M;6.1M;N;N;N
"2016Q3";90;378;4.2;44M;186M;4.3M;128M;503M;3.9M;104M;417M;4.0M;170M;511M;3.0M;N;N;N;200;1337;6.7;228;1820;8.0;426;3537;8.3;220M;1319M;6.0M;229;1585;6.9;N;N;N
"2016Q4";105;288;2.8;N;N;N;49M;134M;2.7M;78M;182M;2.4M;134;255;1.9;N;N;N;121;520;4.3;N;N;N;59M;291M;5.0M;22M;99M;4.4M;103;545;5.3;N;N;N

"Vir: Statistièni urad Republike Slovenije "
" "
"Podatki so ocene, pridobljene z anketo, na vzorcu, ki predstavlja "
"celotno populacijo prebivalcev Slovenije, starih 15 let ali veè."

"Povezane vsebine: "
" "
"- (seznam "
"HREF=http://www.stat.si/statweb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8262 target=_blank) Metodološka pojasnila "

"Seštevki se zaradi zaokroževanja vedno ne ujemajo."

"Seštevki se zaradi zaokroževanja vedno ne ujemajo."

